neuron1	neuron2	score
720575941560566799	720575940636706118	0.406066
720575941703187674	720575940627828552	0.609739
720575941616501205	720575940635221172	0.419223
720575941578601049	720575940624810782	0.419448
720575941471238263	720575940603874784	0.571567
720575941533515139	720575940620390054	0.500671
720575941581725305	720575940617556153	0.481528
720575941449787829	720575940634111351	0.395666
720575941542469724	720575940619114918	0.379306
720575941439569119	720575940616113291	0.4282
720575941576140470	720575940635620709	0.440224
720575941479543776	720575940644542880	0.541482
720575941475357738	720575940625897603	0.434841
720575941463704077	720575940622665544	0.429317
720575941461958340	720575940628746690	0.447176
720575941491972327	720575940624651189	0.659665
720575941611313738	720575940640713843	0.412473
720575941447759124	720575940617997716	0.420856
720575941528460966	720575940631008824	0.586558
720575941543093021	720575940613347299	0.644307
720575941687408623	720575940615799179	0.504937
720575941561392173	720575940634915691	0.592193
720575941438463276	720575940615572597	0.407638
720575941502715019	720575940639118926	0.636322
720575941671431335	720575940632664268	0.411541
720575941574140169	720575940621246068	0.550866
720575941652643313	720575940613522413	0.468393
720575941525364994	720575940614595643	0.407777
720575941628271417	720575940627302908	0.47815
720575941607851117	720575940622929847	0.428107
720575941552896830	720575940618238635	0.458172
720575941557473572	720575940613307033	0.607847
720575941593607126	720575940615133789	0.451089
720575941574549768	720575940639740368	0.419827
720575941569599602	720575940633264888	0.450711
720575941633064389	720575940619373703	0.479824
720575941581672057	720575940633677167	0.30815
720575941441900479	720575940637993542	0.451253
720575941468215517	720575940621481450	0.413568
720575941488143824	720575940630780589	0.502896
720575941534999896	720575940618238635	0.469322
720575941569348858	720575940625182341	0.563947
720575941444895914	720575940628034108	0.445894
720575941545432425	720575940621068464	0.619793
720575941689293430	720575940629704297	0.40764
720575941562287202	720575940629941507	0.38672
720575941613532892	720575940630689644	0.609029
720575941631945452	720575940626901521	0.417371
720575941557316004	720575940609260494	0.588673
720575941407564718	720575940635768895	0.415111
720575941486597442	720575940622467113	0.568644
720575941652845041	720575940627304424	0.430026
720575941466194454	720575940604954289	0.622811
720575941499166281	720575940624537284	0.638332
720575941511270610	720575940616376287	0.587639
720575941503808855	720575940615254782	0.41882
720575941477577025	720575940629041790	0.431678
720575941500465547	720575940620706486	0.4604
720575941502262411	720575940626993694	0.547284
720575941681685693	720575940634243775	0.434643
720575941561743872	720575940622147873	0.633336
720575941601297705	720575940620749807	0.575057
720575941473861728	720575940645199748	0.397818
720575941571547912	720575940621166625	0.458831
720575941639868277	720575940633969815	0.40136
